# source: Fig. 1c https://pubs.rsc.org/en/content/articlehtml/2012/ee/c2ee22858k
# 296 K.
P(mmHg),N(cm3STP/cm3)
803.488372093,169.473684211
779.069767442,168.421052632
751.162790698,168.421052632
730.23255814,166.315789474
705.813953488,166.315789474
677.906976744,164.210526316
660.465116279,164.210526316
639.534883721,163.157894737
611.627906977,161.052631579
587.209302326,160
541.860465116,157.894736842
520.930232558,156.842105263
493.023255814,155.789473684
472.093023256,154.736842105
444.186046512,151.578947368
566.279069767,158.947368421
398.837209302,149.473684211
374.418604651,146.315789474
353.488372093,144.210526316
325.581395349,141.052631579
419.76744186,150.526315789
308.139534884,138.947368421
283.720930233,133.684210526
259.302325581,130.526315789
231.395348837,125.263157895
206.976744186,120
189.534883721,112.631578947
165.11627907,104.210526316
137.209302326,94.7368421053
119.76744186,83.1578947368
95.3488372093,68.4210526316
70.9302325581,51.5789473684
46.511627907,33.6842105263
22.0930232558,15.7894736842
11.6279069767,7.36842105263
