#,296,K,Fig.,1c,https://pubs.rsc.org/en/content/articlehtml/2012/ee/c2ee22858k
P(mmHg),N(cm3STP_cm3)
800,131.826086957
775.581395349,130.782608696
751.162790698,129.739130435
730.23255814,129.739130435
705.813953488,128.695652174
681.395348837,126.608695652
660.465116279,126.608695652
632.558139535,124.52173913
608.139534884,123.47826087
590.697674419,122.434782609
562.790697674,120.347826087
541.860465116,119.304347826
517.441860465,117.217391304
496.511627907,115.130434783
472.093023256,114.086956522
447.674418605,112
423.255813953,109.913043478
398.837209302,106.782608696
374.418604651,104.695652174
353.488372093,102.608695652
329.069767442,98.4347826087
304.651162791,95.3043478261
283.720930233,91.1304347826
262.790697674,86.9565217391
234.88372093,80.6956521739
213.953488372,75.4782608696
189.534883721,68.1739130435
165.11627907,59.8260869565
140.697674419,52.5217391304
116.279069767,43.1304347826
95.3488372093,33.7391304348
70.9302325581,25.3913043478
43.023255814,14.9565217391
