# https://pubs.rsc.org/en/content/articlelanding/2011/EE/c1ee01720a#!divAbstract
P(mbar),N(mmol/g)
0.04809,0.00932
0.9619,0.24658
10.2744,1.95058
19.06602,2.87966
40.92624,4.12808
64.83291,4.82547
86.24421,5.21491
98.732,5.3881
121.22793,5.63904
140.87867,5.81376
151.0886,5.8942
160.80167,5.96458
180.93703,6.09619
202.08281,6.21572
250.29541,6.44487
302.98921,6.65089
353.43354,6.82109
403.01887,6.98591
452.58426,7.11947
500.10384,7.24123
550.71135,7.36736
600.51464,7.48516
651.05183,7.59732
700.38771,7.70177
750.38068,7.80686
800.66033,7.90855
850.55932,8.00953
900.30198,8.10647
970.06962,8.23444
1019.9118,8.32133
1070.13172,8.41187
