# https://pubs.rsc.org/en/content/articlelanding/2011/EE/c1ee01720a#!divAbstract
P(mbar),N(mmol/g)
0.03243,0.01022
1.03477,0.46186
19.46793,3.857
40.84325,4.96779
61.3311,5.48004
86.27046,5.85892
99.49784,6.00586
120.60275,6.20068
141.16787,6.35419
151.46628,6.42281
161.0168,6.48395
180.5005,6.59797
201.51562,6.70645
249.92697,6.92612
302.67413,7.13234
353.60141,7.30823
403.35722,7.47162
452.40911,7.62263
500.49843,7.76348
550.58493,7.90222
600.54145,8.03761
650.55725,8.16845
701.06018,8.29579
750.51568,8.41683
800.60191,8.5316
850.4257,8.64521
900.46099,8.75841
950.50921,8.87183
1000.65541,8.97993
